timestamp,Radiation,empty1,empty2,date,power
0.000000000000000,0.000000000000000,,,2003-04-01 00:00:00,0.000000000000000
900.000000000000000,0.000000000000000,,,2003-04-01 00:15:00,0.000000000000000
1800.000000000000000,0.000000000000000,,,2003-04-01 00:30:00,0.000000000000000
2700.000000000000000,0.000000000000000,,,2003-04-01 00:45:00,0.000000000000000
3600.000000000000000,0.000000000000000,,,2003-04-01 01:00:00,0.000000000000000
4500.000000000000000,0.000000000000000,,,2003-04-01 01:15:00,0.000000000000000
5400.000000000000000,0.000000000000000,,,2003-04-01 01:30:00,0.000000000000000
6300.000000000000000,0.000000000000000,,,2003-04-01 01:45:00,0.000000000000000
7200.000000000000000,0.000000000000000,,,2003-04-01 02:00:00,0.000000000000000
8100.000000000000000,0.000000000000000,,,2003-04-01 02:15:00,0.000000000000000
9000.000000000000000,0.000000000000000,,,2003-04-01 02:30:00,0.000000000000000
9900.000000000000000,0.000000000000000,,,2003-04-01 02:45:00,0.000000000000000
10800.000000000000000,0.000000000000000,,,2003-04-01 03:00:00,0.000000000000000
11700.000000000000000,0.000000000000000,,,2003-04-01 03:15:00,0.000000000000000
12600.000000000000000,0.000000000000000,,,2003-04-01 03:30:00,0.000000000000000
13500.000000000000000,0.000000000000000,,,2003-04-01 03:45:00,0.000000000000000
14400.000000000000000,0.000000000000000,,,2003-04-01 04:00:00,0.000000000000000
15300.000000000000000,0.000000000000000,,,2003-04-01 04:15:00,0.000000000000000
16200.000000000000000,0.000000000000000,,,2003-04-01 04:30:00,0.000000000000000
17100.000000000000000,0.000000000000000,,,2003-04-01 04:45:00,0.000000000000000
18000.000000000000000,0.000000000000000,,,2003-04-01 05:00:00,0.000000000000000
18900.000000000000000,4.166666666666667,,,2003-04-01 05:15:00,0.000030578916667
19800.000000000000000,8.333333333333334,,,2003-04-01 05:30:00,0.000061157833333
20700.000000000000000,12.500000000000000,,,2003-04-01 05:45:00,0.000091736750000
21600.000000000000000,16.666666666666668,,,2003-04-01 06:00:00,0.000122315666667
22500.000000000000000,28.472222222222221,,,2003-04-01 06:15:00,0.000208955930556
23400.000000000000000,40.277777777777771,,,2003-04-01 06:30:00,0.000295596194444
24300.000000000000000,52.083333333333329,,,2003-04-01 06:45:00,0.000382236458333
25200.000000000000000,63.888888888888886,,,2003-04-01 07:00:00,0.000468876722222
26100.000000000000000,77.083333333333343,,,2003-04-01 07:15:00,0.000565709958333
27000.000000000000000,90.277777777777786,,,2003-04-01 07:30:00,0.000662543194444
27900.000000000000000,103.472222222222229,,,2003-04-01 07:45:00,0.000759376430556
28800.000000000000000,116.666666666666686,,,2003-04-01 08:00:00,0.000856209666667
29700.000000000000000,118.750000000000014,,,2003-04-01 08:15:00,0.000871499125000
30600.000000000000000,120.833333333333343,,,2003-04-01 08:30:00,0.000886788583333
31500.000000000000000,122.916666666666671,,,2003-04-01 08:45:00,0.000902078041667
32400.000000000000000,125.000000000000000,,,2003-04-01 09:00:00,0.000917367500000
33300.000000000000000,128.472222222222229,,,2003-04-01 09:15:00,0.000942849930556
34200.000000000000000,131.944444444444457,,,2003-04-01 09:30:00,0.000968332361111
35100.000000000000000,135.416666666666657,,,2003-04-01 09:45:00,0.000993814791667
36000.000000000000000,138.888888888888886,,,2003-04-01 10:00:00,0.001019297222222
36900.000000000000000,190.972222222222229,,,2003-04-01 10:15:00,0.001401533680556
37800.000000000000000,243.055555555555543,,,2003-04-01 10:30:00,0.001783770138889
38700.000000000000000,295.138888888888914,,,2003-04-01 10:45:00,0.002166006597222
39600.000000000000000,347.222222222222229,,,2003-04-01 11:00:00,0.002548243055556
40500.000000000000000,360.416666666666686,,,2003-04-01 11:15:00,0.002645076291667
41400.000000000000000,373.611111111111086,,,2003-04-01 11:30:00,0.002741909527778
42300.000000000000000,386.805555555555543,,,2003-04-01 11:45:00,0.002838742763889
43200.000000000000000,400.000000000000000,,,2003-04-01 12:00:00,0.002935576000000
44100.000000000000000,331.250000000000000,,,2003-04-01 12:15:00,0.002431023875000
45000.000000000000000,262.500000000000000,,,2003-04-01 12:30:00,0.001926471750000
45900.000000000000000,193.750000000000000,,,2003-04-01 12:45:00,0.001421919625000
46800.000000000000000,125.000000000000000,,,2003-04-01 13:00:00,0.000917367500000
47700.000000000000000,122.916666666666671,,,2003-04-01 13:15:00,0.000902078041667
48600.000000000000000,120.833333333333343,,,2003-04-01 13:30:00,0.000886788583333
49500.000000000000000,118.750000000000014,,,2003-04-01 13:45:00,0.000871499125000
50400.000000000000000,116.666666666666686,,,2003-04-01 14:00:00,0.000856209666667
51300.000000000000000,138.194444444444457,,,2003-04-01 14:15:00,0.001014200736111
52200.000000000000000,159.722222222222229,,,2003-04-01 14:30:00,0.001172191805556
53100.000000000000000,181.250000000000000,,,2003-04-01 14:45:00,0.001330182875000
54000.000000000000000,202.777777777777771,,,2003-04-01 15:00:00,0.001488173944444
54900.000000000000000,184.722222222222229,,,2003-04-01 15:15:00,0.001355665305556
55800.000000000000000,166.666666666666657,,,2003-04-01 15:30:00,0.001223156666667
56700.000000000000000,148.611111111111086,,,2003-04-01 15:45:00,0.001090648027778
57600.000000000000000,130.555555555555543,,,2003-04-01 16:00:00,0.000958139388889
58500.000000000000000,109.027777777777771,,,2003-04-01 16:15:00,0.000800148319444
59400.000000000000000,87.500000000000000,,,2003-04-01 16:30:00,0.000642157250000
60300.000000000000000,65.972222222222214,,,2003-04-01 16:45:00,0.000484166180556
61200.000000000000000,44.444444444444443,,,2003-04-01 17:00:00,0.000326175111111
